service_name,service_id,sku_name,sku_id,sku_resource_family,sku_resource_group,sku_usage_type,sku_region,sku_vm_family
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Sydney to APAC,32C9-BEF0-58DD,Network,InterregionEgress,OnDemand,australia-southeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Sydney to APAC,32C9-BEF0-58DD,Network,InterregionEgress,OnDemand,asia-east1,
Compute Engine,6F81-5844-456A,A2 Instance Core running in Santiago,32CB-4D0F-9796,Compute,CPU,OnDemand,southamerica-west1,A2
Compute Engine,6F81-5844-456A,SSD backed Local Storage attached to Spot Preemptible VMs in Frankfurt,32CD-69B6-F8EE,Storage,LocalSSD,Preemptible,europe-west3,
Compute Engine,6F81-5844-456A,T2D AMD Instance Ram running in Delhi,32D9-9377-E451,Compute,RAM,OnDemand,asia-south2,T2D
Compute Engine,6F81-5844-456A,Network Internet Egress from Milan to Americas,32DB-58B1-ECC8,Network,PremiumInternetEgress,OnDemand,europe-west8,
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2008 R2 Datacenter Edition (CPU cost),32DC-129E-4A83,License,WindowsServer2008R2,OnDemand,global,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Santiago to Melbourne,32DD-0233-4FE8,Network,InterregionEgress,OnDemand,southamerica-west1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Santiago to Melbourne,32DD-0233-4FE8,Network,InterregionEgress,OnDemand,australia-southeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from APAC to Paris,32EB-31E2-4C59,Network,VPNInterregionEgress,OnDemand,asia-east1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from APAC to Paris,32EB-31E2-4C59,Network,VPNInterregionEgress,OnDemand,europe-west9,
Compute Engine,6F81-5844-456A,A2 Instance Ram running in Jakarta,32ED-2577-54DB,Compute,RAM,OnDemand,asia-southeast2,A2
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Hong Kong to Delhi,32EF-0AAD-8AD6,Network,InterregionIngress,OnDemand,asia-east2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Hong Kong to Delhi,32EF-0AAD-8AD6,Network,InterregionIngress,OnDemand,asia-south2,
Compute Engine,6F81-5844-456A,On-demand fee for total VM network bandwidth up to 50 Gbps in Jakarta,32F0-43E1-0E87,Network,AdvancedNetworking,OnDemand,asia-southeast2,
Compute Engine,6F81-5844-456A,N2D AMD Custom Extended Ram running in Netherlands,32F0-F990-057F,Compute,RAM,OnDemand,europe-west4,N2D
